燃料电池研究所,18,14
学生宿舍X37,22,196
材料A楼,18,117
东中院四区,10,77
第三食堂,18,790
法华南楼,22,35
材料A楼,8,32
东中院四区,16,139
徐汇新上院,8,822
西南体育馆-南体,18,309
法华南楼,16,109
陈瑞球楼,16,252
药学楼6号楼,16,40
法华北楼,8,27
学生服务中心,22,60
药学楼2号楼,16,46
徐汇校医院,8,122
包玉刚图书馆,22,9
东中院一区,22,192
药学楼2号楼,18,42
徐汇校医院,10,46
药学楼4号楼,8,15
图书馆,4,1
陈瑞球楼,18,437
农学生物学院-附楼三,22,33
药学楼6号楼,18,58
法华北楼,10,30
药学楼4号楼,10,40
药学楼5号楼,10,11
徐汇小白楼,16,244
徐汇保卫处,8,28
东中院三区,18,377
机械与动力工程学院B楼－东楼,22,95
老行政楼,4,29
七宝网络中心,8,5
凯旋门,10,19
药学楼3号楼,10,32
学生事务中心-铁生馆,8,93
农学生物学院-附楼二,10,27
学生宿舍W8,4,15
留园,18,101
老行政楼,10,267
电信群楼5号楼,16,3
东下院,10,178
逸夫科技楼,18,316
伍威权堂,22,114
陈瑞球北楼,10,81
木兰学院南楼,18,96
学生宿舍W8,10,125
电信群楼1号楼,10,42
电信群楼5号楼,22,1
东下院,4,5
法华南楼,8,121
电话总机房,18,3
东上院,18,433
东中院二区,10,45
电话总机房,16,2
图书馆四区,16,24
东上院,16,269
东中院二区,8,48
法华10号楼,22,10
图书馆四区,18,39
西中院,16,19
媒体与设计实验室B楼,16,65
新体育馆-近沧源路,18,251
法华3号楼,18,18
徐汇小白楼,4,2
西中院,22,14
药学楼1号楼,8,16
七宝网络中心,18,4
中意能源楼,22,3
农学生物学院-附楼一,22,18
分析测试中心2号楼,18,41
电信群楼1号楼,22,77
机械与动力工程学院B楼－南楼,16,60
包玉刚图书馆,8,3
建筑馆,18,336
分析测试中心3号楼,4,1
文选医学楼,22,69
木兰学院北楼,18,121
包玉刚图书馆,10,13
建筑馆,16,177
建筑馆,10,147
徐汇浩然大厦,22,10
棒球场,8,50
木兰学院北楼,16,120
光彪楼,4,15
建筑馆,8,91
机械与动力工程学院B楼－南楼,18,61
棒球场,10,62
能源材料,18,2
药学楼5号楼,16,28
西下院,18,32
陈瑞球北楼,16,137
机械与动力工程学院A楼－主楼,4,4
徐汇图书馆,22,1
菁菁堂,16,291
学生宿舍W45,16,78
机械与动力工程学院B楼－北楼,18,78
凯旋门,22,28
西下院,10,34
徐汇保卫处,22,7
菁菁堂,22,170
西南体育馆-南体,8,137
学生宿舍W45,22,103
法华1号楼,8,11
程及美术馆,22,45
机械与动力工程学院A楼－主楼,10,51
徐汇保卫处,16,69
伍威权堂,10,97
第二食堂,16,379
文选医学楼,8,23
徐汇新建楼,18,99
法华北楼,18,118
机械与动力工程学院,16,10
图书馆,10,24
第一食堂,10,223
东上院,8,147
徐汇新建楼,16,115
分析测试中心3号楼,16,17
文选医学楼,10,32
校医院北楼,16,6
法华4号楼,22,5
法华北楼,16,125
机械与动力工程学院,18,8
东上院,10,223
图书馆,8,90
农学生物学院-附楼三,4,1
第一食堂,8,291
人文楼,18,62
分析测试中心3号楼,18,22
徐汇新中院,8,13
外语楼,22,17
第二食堂,18,957
人文楼,16,12
徐汇新中院,10,13
老行政楼,16,408
东门,18,41
木兰学院南楼,10,62
徐汇工程馆,22,56
材料A楼,4,1
校医院南楼,4,1
农学生物学院-附楼二,16,51
老行政楼,22,276
机械与动力工程学院B楼－北楼,10,52
基建处,22,43
基建处,8,32
材料A楼,10,45
东中院四区,18,353
法华1号楼,16,36
徐汇工程馆,16,608
燃料电池研究所,22,10
null,8,251
工程力学实验中心,18,601
药学楼4号楼,4,5
陈瑞球楼,22,199
农学生物学院-附楼三,18,57
药学楼6号楼,22,37
null,10,303
徐汇体育馆,8,182
第二食堂,4,7
东中院二区,4,1
机械与动力工程学院C楼,4,9
徐汇体育馆,10,97
学生服务中心,18,176
工程力学实验中心,16,360
学生服务中心,16,163
农学生物学院-附楼三,16,54
法华10号楼,4,1
药学楼3号楼,8,18
学生事务中心-铁生馆,10,87
留园,16,125
分析测试中心2号楼,8,13
电信群楼5号楼,18,1
东下院,8,230
陈瑞球北楼,8,64
木兰学院南楼,16,105
农学生物学院-附楼二,8,8
校医院南楼,22,10
东中院三区,22,148
西中院,8,7
机械与动力工程学院B楼－东楼,4,11
电信群楼3号楼,10,18
媒体与设计实验室B楼,10,45
逸夫科技楼,8,104
徐汇中院,22,39
徐汇小白楼,18,111
药学楼3号楼,22,41
学生事务中心-铁生馆,4,6
东中院三区,16,142
农学生物学院-附楼一,4,2
机械与动力工程学院A楼－附楼,8,20
工程力学实验中心,4,32
陈瑞球楼,4,3
光彪楼,16,392
外语楼,8,21
图书馆四区,22,22
分析测试中心1号楼,22,53
机械与动力工程学院A楼－附楼,10,35
光彪楼,18,660
媒体与设计实验室A楼,10,58
外语楼,10,22
木兰学院北楼,4,10
机械与动力工程学院C楼,16,81
东中院一区,4,1
媒体与设计实验室A楼,8,49
机械与动力工程学院B楼－南楼,4,4
